Posicao;Nota;Nome;Gênero;Duracao;Faixa Etária;Ano
52; 8.5 ;O Grande Truque;Drama,Mistério,Thriller;130;14;2006
53; 8.5 ;O Rei Leão;Animação,Aventura,Drama;89;0;1994
54; 8.5 ;O Grande Ditador;Comédia,Drama,Guerra;125;0;1940
55; 8.5 ;A Vida dos Outros;Drama,Thriller;137;12;2006
56; 8.5 ;Cinema Paradiso;Drama;155;0;1988
57; 8.5 ;O Iluminado;Horror;146;14;1980
58; 8.5 ;Django Livre;Western;165;16;2012
59; 8.5 ;Glória Feita de Sangue;Drama,Guerra;88;14;1957
60; 8.5 ;Batman: O Cavaleiro das Trevas Ressurge;Ação,Thriller;165;12;2012
61; 8.4 ;Beleza Americana;Drama,Romance;122;14;1999
62; 8.4 ;WALL·E;Animação,Aventura,Família;98;0;2008
63; 8.4 ;Intriga Internacional;Aventura,Mistério,Thriller;136;14;1959
64; 8.4 ;Aliens, O Resgate;Ação,Aventura,Sci-Fi;137;14;1986
65; 8.4 ;Cidadão Kane;Drama,Mistério;119;0;1941
66; 8.5 ;Túmulo dos Vagalumes;Animação,Drama,Guerra;89;0;1988
67; 8.4 ;Um Corpo Que Cai;Mistério,Romance,Thriller;128;14;1958
